<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HUFUSD,D,20200727,000000,0.33649,0.3415,0.33629,0.33969,0,0
HUFXAG,D,20200727,000000,1.47972,1.4803,1.37745,1.39849,0,0
HUFXAU,D,20200727,000000,1.76931,1.77129,1.74142,1.7553,0,0
HUFXDR,D,20200727,000000,0.24036,0.24036,0.24036,0.24036,0,0
HUFXPD,D,20200727,000000,1.51018,1.52926,1.46231,1.47911,0,0
HUFXPT,D,20200727,000000,3.67726,3.67726,3.58212,3.6388,0,0
HUFZAR,D,20200727,000000,5.61872,5.62854,5.56584,5.57871,0,0
HUF_I,D,20200727,000000,47.5177,47.9168,47.463,47.7231,0,0
IDRARS,D,20200727,000000,49.5105,49.5105,49.5105,49.5105,0,0
IDRAUD,D,20200727,000000,0.96695,0.96695,0.96695,0.96695,0,0
IDRBGN,D,20200727,000000,1.15181,1.15181,1.15181,1.15181,0,0
IDRBRL,D,20200727,000000,3.6042,3.6042,3.6042,3.6042,0,0
IDRBTC,D,20200727,000000,0.0068,0.0068,0.0068,0.0068,0,0
IDRCAD,D,20200727,000000,0.92243,0.92243,0.92243,0.92243,0,0
IDRCHF,D,20200727,000000,0.63397,0.63397,0.63397,0.63397,0,0
IDRCLP,D,20200727,000000,5.33217,5.33217,5.33217,5.33217,0,0
IDRCNY,D,20200727,000000,4.82236,4.82236,4.82236,4.82236,0,0
IDRCZK,D,20200727,000000,0.15432,0.15432,0.15432,0.15432,0,0
IDRDKK,D,20200727,000000,4.38367,4.38367,4.38367,4.38367,0,0
IDREGP,D,20200727,000000,11.009,11.009,11.009,11.009,0,0
IDREUR,D,20200727,000000,0.5889,0.5889,0.5889,0.5889,0,0
IDRGBP,D,20200727,000000,0.53646,0.53646,0.53646,0.53646,0,0
IDRHKD,D,20200727,000000,5.33876,5.33876,5.33876,5.33876,0,0
IDRHRK,D,20200727,000000,4.42633,4.42633,4.42633,4.42633,0,0
IDRHUF,D,20200727,000000,2.03637,2.03637,2.03637,2.03637,0,0
IDRILS,D,20200727,000000,2.34998,2.34998,2.34998,2.34998,0,0
IDRINR,D,20200727,000000,0.51538,0.51538,0.51538,0.51538,0,0
IDRISK,D,20200727,000000,0.93045,0.93045,0.93045,0.93045,0,0
IDRJPY,D,20200727,000000,0.72678,0.72678,0.72678,0.72678,0,0
IDRKRW,D,20200727,000000,0.08248,0.08248,0.08248,0.08248,0,0
IDRMXN,D,20200727,000000,0.15331,0.15331,0.15331,0.15331,0,0
IDRMYR,D,20200727,000000,2.92872,2.92872,2.92872,2.92872,0,0
IDRNAD,D,20200727,000000,11.3802,11.3802,11.3802,11.3802,0,0
IDRNOK,D,20200727,000000,6.2742,6.2742,6.2742,6.2742,0,0
IDRNZD,D,20200727,000000,1.0339,1.0339,1.0339,1.0339,0,0
IDRPHP,D,20200727,000000,0.33889,0.33889,0.33889,0.33889,0,0
IDRPLN,D,20200727,000000,2.5925,2.5925,2.5925,2.5925,0,0
IDRRON,D,20200727,000000,2.84297,2.84297,2.84297,2.84297,0,0
IDRRUB,D,20200727,000000,0.49287,0.49287,0.49287,0.49287,0,0
IDRSEK,D,20200727,000000,6.04594,6.04594,6.04594,6.04594,0,0
IDRSGD,D,20200727,000000,0.95082,0.95082,0.95082,0.95082,0,0
IDRTHB,D,20200727,000000,0.21731,0.21731,0.21731,0.21731,0,0
IDRTRY,D,20200727,000000,4.71964,4.71964,4.71964,4.71964,0,0
IDRTWD,D,20200727,000000,0.20234,0.20234,0.20234,0.20234,0,0
IDRUAH,D,20200727,000000,19.1187,19.1187,19.1187,19.1187,0,0
IDRUSD,D,20200727,000000,0.68871,0.68871,0.68871,0.68871,0,0
IDRXAG,D,20200727,000000,2.8596,2.8596,2.8596,2.8596,0,0
IDRXAU,D,20200727,000000,3.55,3.55,3.55,3.55,0,0
IDRXDR,D,20200727,000000,0.48946,0.48946,0.48946,0.48946,0,0
IDRXPD,D,20200727,000000,3.04,3.04,3.04,3.04,0,0
IDRXPT,D,20200727,000000,7.32,7.32,7.32,7.32,0,0
IDRZAR,D,20200727,000000,11.3856,11.3856,11.3856,11.3856,0,0
ILSARS,D,20200727,000000,21.065,21.1321,20.9964,21.1024,0,0
ILSAUD,D,20200727,000000,0.41074,0.41182,0.40944,0.41057,0,0
ILSBGN,D,20200727,000000,0.49014,0.49014,0.49014,0.49014,0,0
ILSBRL,D,20200727,000000,1.52017,1.52521,1.5105,1.51772,0,0
ILSBTC,D,20200727,000000,0.00284,0.00289,0.00281,0.00284,0,0
ILSCAD,D,20200727,000000,0.392,0.39312,0.39134,0.39194,0,0
ILSCHF,D,20200727,000000,0.26878,0.27048,0.26876,0.26957,0,0
ILSCLP,D,20200727,000000,225.405,225.786,224.103,224.74,0,0
ILSCNY,D,20200727,000000,2.05024,2.05576,2.05024,2.053,0,0
ILSCZK,D,20200727,000000,6.56719,6.58074,6.51757,6.52799,0,0
ILSDKK,D,20200727,000000,1.86218,1.8676,1.85075,1.85502,0,0
ILSEGP,D,20200727,000000,4.68688,4.6964,4.67695,4.68615,0,0
ILSEUR,D,20200727,000000,0.25022,0.25093,0.24867,0.24925,0,0
ILSGBP,D,20200727,000000,0.22832,0.22901,0.22708,0.2273,0,0
ILSHKD,D,20200727,000000,2.26999,2.27552,2.26559,2.26968,0,0
ILSHRK,D,20200727,000000,1.88356,1.88356,1.88356,1.88356,0,0
ILSHUF,D,20200727,000000,86.4602,86.7818,85.8089,86.1382,0,0
ILSIDR,D,20200727,000000,42.5535,42.5535,42.5535,42.5535,0,0
ILSINR,D,20200727,000000,21.882,21.9674,21.8785,21.9148,0,0
ILSISK,D,20200727,000000,39.5442,39.6126,39.3659,39.4319,0,0
ILSJPY,D,20200727,000000,30.933,30.9758,30.7819,30.8322,0,0
ILSKRW,D,20200727,000000,351.002,351.002,351.002,351.002,0,0
ILSMXN,D,20200727,000000,6.51,6.5311,6.43808,6.44673,0,0
ILSMYR,D,20200727,000000,1.24499,1.24802,1.24498,1.24729,0,0
ILSNAD,D,20200727,000000,4.86003,4.86672,4.80268,4.8082,0,0
ILSNOK,D,20200727,000000,2.66436,2.68088,2.65772,2.67039,0,0
ILSNZD,D,20200727,000000,0.43891,0.44034,0.43732,0.43829,0,0
ILSPHP,D,20200727,000000,14.4203,14.4584,14.4189,14.4445,0,0
ILSPLN,D,20200727,000000,1.10158,1.10552,1.09196,1.09511,0,0
ILSRON,D,20200727,000000,1.20881,1.21087,1.20153,1.20153,0,0
ILSRUB,D,20200727,000000,20.9874,21.0373,20.9292,20.9885,0,0
ILSSEK,D,20200727,000000,2.57551,2.58028,2.55393,2.5596,0,0
ILSSGD,D,20200727,000000,0.40414,0.40512,0.40315,0.40384,0,0
ILSTHB,D,20200727,000000,9.22999,9.2684,9.20438,9.21807,0,0
ILSTRY,D,20200727,000000,2.00464,2.01204,2.00313,2.01141,0,0
ILSTWD,D,20200727,000000,8.60406,8.61516,8.60286,8.60794,0,0
ILSUAH,D,20200727,000000,8.13569,8.13569,8.13569,8.13569,0,0
ILSUSD,D,20200727,000000,0.29283,0.29355,0.2923,0.29283,0,0
ILSXAG,D,20200727,000000,1.20956,1.22394,1.19167,1.20853,0,0
ILSXAU,D,20200727,000000,1.51248,1.51844,1.50526,1.51058,0,0
ILSXDR,D,20200727,000000,0.20828,0.20828,0.20828,0.20828,0,0
ILSXPD,D,20200727,000000,1.3054,1.30802,1.26462,1.26485,0,0
ILSXPT,D,20200727,000000,3.10785,3.14869,3.09611,3.1486,0,0
ILSZAR,D,20200727,000000,4.86003,4.86241,4.80268,4.8082,0,0
INRARS,D,20200727,000000,96.0665,96.0665,96.0665,96.0665,0,0
INRAUD,D,20200727,000000,1.87607,1.87831,1.87167,1.8746,0,0
INRBGN,D,20200727,000000,2.23489,2.23489,2.23489,2.23489,0,0
INRBRL,D,20200727,000000,6.99333,6.99333,6.99333,6.99333,0,0
INRBTC,D,20200727,000000,0.0131,0.01318,0.01297,0.01303,0,0
INRCAD,D,20200727,000000,1.7912,1.79239,1.78756,1.78854,0,0
INRCHF,D,20200727,000000,1.2284,1.23314,1.22574,1.23036,0,0
INRCLP,D,20200727,000000,10.3462,10.3462,10.3462,10.3462,0,0
INRCNY,D,20200727,000000,0.09374,0.0938,0.09349,0.09368,0,0
INRCZK,D,20200727,000000,0.30005,0.30034,0.29909,0.29928,0,0
INRDKK,D,20200727,000000,8.51098,8.51827,8.49182,8.50117,0,0
INREGP,D,20200727,000000,21.3854,21.4143,21.3351,21.344,0,0
INREUR,D,20200727,000000,1.14354,1.14461,1.14096,1.14219,0,0
INRGBP,D,20200727,000000,1.04234,1.04396,1.04004,1.04079,0,0
INRHKD,D,20200727,000000,0.10377,0.10382,0.1035,0.10363,0,0
INRHRK,D,20200727,000000,8.58853,8.58853,8.58853,8.58853,0,0
INRHUF,D,20200727,000000,3.94935,3.9591,3.93629,3.94934,0,0
INRIDR,D,20200727,000000,194.033,194.033,194.033,194.033,0,0
INRILS,D,20200727,000000,4.56996,4.57069,4.55219,4.56313,0,0
INRISK,D,20200727,000000,1.80348,1.8072,1.80076,1.80471,0,0
INRJPY,D,20200727,000000,1.41399,1.41472,1.4075,1.40846,0,0
INRKRW,D,20200727,000000,16.0043,16.0225,15.9996,16.0074,0,0
INRMXN,D,20200727,000000,0.2974,0.29772,0.29663,0.29712,0,0
INRMYR,D,20200727,000000,5.69051,5.69324,5.67802,5.67987,0,0
INRNAD,D,20200727,000000,0.22316,0.22326,0.22005,0.22005,0,0
INRNOK,D,20200727,000000,12.1724,12.2118,12.1526,12.1803,0,0
INRNZD,D,20200727,000000,2.00497,2.00824,2.00202,2.00429,0,0
INRPHP,D,20200727,000000,0.65838,0.65916,0.65761,0.65777,0,0
INRPLN,D,20200727,000000,5.03414,5.03915,5.02277,5.02661,0,0
INRRON,D,20200727,000000,5.5242,5.52442,5.50744,5.51437,0,0
INRRUB,D,20200727,000000,0.95716,0.95795,0.95511,0.95604,0,0
INRSEK,D,20200727,000000,0.11763,0.11782,0.11714,0.11724,0,0
INRSGD,D,20200727,000000,1.84678,1.84808,1.84337,1.84469,0,0
INRTHB,D,20200727,000000,0.42193,0.42221,0.42112,0.42156,0,0
INRTRY,D,20200727,000000,9.16313,9.1679,9.14301,9.15747,0,0
INRTWD,D,20200727,000000,0.39323,0.39342,0.39185,0.39198,0,0
INRUAH,D,20200727,000000,0.37097,0.37097,0.37097,0.37097,0,0
INRUSD,D,20200727,000000,1.33863,1.33926,1.3352,1.33702,0,0
INRXAG,D,20200727,000000,5.54759,5.57524,5.51017,5.53633,0,0
INRXAU,D,20200727,000000,6.92599,6.93491,6.87564,6.88488,0,0
INRXDR,D,20200727,000000,0.9497,0.9497,0.9497,0.9497,0,0
INRXPD,D,20200727,000000,5.95634,5.97061,5.82916,5.82939,0,0
INRXPT,D,20200727,000000,14.2275,14.3056,14.1374,14.255,0,0
INRZAR,D,20200727,000000,0.22171,0.22234,0.22004,0.22004,0,0
ISKARS,D,20200727,000000,53.4331,53.6533,53.2263,53.4973,0,0
ISKAUD,D,20200727,000000,1.03938,1.04277,1.03719,1.04036,0,0
ISKBGN,D,20200727,000000,1.23792,1.23792,1.23792,1.23792,0,0
ISKBRL,D,20200727,000000,3.85018,3.86804,3.83291,3.83998,0,0
ISKBTC,D,20200727,000000,0.00722,0.00731,0.0069,0.00691,0,0
ISKCAD,D,20200727,000000,0.99269,0.99673,0.99015,0.9929,0,0
ISKCHF,D,20200727,000000,0.68044,0.68505,0.67996,0.68334,0,0
ISKCLP,D,20200727,000000,5.70889,5.72033,5.68996,5.6999,0,0
ISKCNY,D,20200727,000000,5.19263,5.19684,5.18381,5.1909,0,0
ISKCZK,D,20200727,000000,0.16626,0.16634,0.16537,0.16553,0,0
ISKDKK,D,20200727,000000,4.71554,4.71925,4.69847,4.70188,0,0
ISKEGP,D,20200727,000000,11.8549,11.8814,11.8153,11.8503,0,0
ISKEUR,D,20200727,000000,0.63357,0.63406,0.63133,0.63178,0,0
ISKGBP,D,20200727,000000,0.57858,0.57912,0.57529,0.57642,0,0
ISKHKD,D,20200727,000000,5.75018,5.76987,5.7344,5.75323,0,0
ISKHRK,D,20200727,000000,4.75721,4.75721,4.75721,4.75721,0,0
ISKHUF,D,20200727,000000,2.18746,2.19245,2.17852,2.18559,0,0
ISKIDR,D,20200727,000000,107.475,107.475,107.475,107.475,0,0
ISKILS,D,20200727,000000,2.52882,2.54027,2.52445,2.53602,0,0
ISKINR,D,20200727,000000,0.55448,0.55532,0.55334,0.5541,0,0
ISKJPY,D,20200727,000000,0.7823,0.78312,0.7796,0.7815,0,0
ISKKRW,D,20200727,000000,8.8651,8.8651,8.8651,8.8651,0,0
ISKMXN,D,20200727,000000,16.4598,16.5024,16.3243,16.3248,0,0
ISKMYR,D,20200727,000000,3.15371,3.15517,3.14936,3.15165,0,0
ISKNAD,D,20200727,000000,12.2676,12.2918,12.1745,12.1948,0,0
ISKNOK,D,20200727,000000,6.75704,6.77976,6.73483,6.76191,0,0
ISKNZD,D,20200727,000000,1.11156,1.11352,1.10915,1.11103,0,0
ISKPHP,D,20200727,000000,0.36422,0.36422,0.36422,0.36422,0,0
ISKPLN,D,20200727,000000,2.78946,2.79399,2.77279,2.77516,0,0
ISKRON,D,20200727,000000,3.05991,3.06101,3.04935,3.05125,0,0
ISKRUB,D,20200727,000000,0.53073,0.53357,0.52927,0.533,0,0
ISKSEK,D,20200727,000000,6.51678,6.52228,6.4804,6.48933,0,0
ISKSGD,D,20200727,000000,1.02359,1.0259,1.02088,1.02368,0,0
ISKTHB,D,20200727,000000,0.23388,0.23433,0.2333,0.23358,0,0
ISKTRY,D,20200727,000000,5.07962,5.10678,5.06672,5.10505,0,0
ISKTWD,D,20200727,000000,0.21746,0.21746,0.21746,0.21746,0,0
ISKUAH,D,20200727,000000,20.5479,20.5479,20.5479,20.5479,0,0
ISKUSD,D,20200727,000000,0.74178,0.74438,0.73981,0.74223,0,0
ISKXAG,D,20200727,000000,3.07412,3.09455,3.01471,3.0582,0,0
ISKXAU,D,20200727,000000,3.83728,3.84495,3.81073,3.83644,0,0
ISKXDR,D,20200727,000000,0.52604,0.52604,0.52604,0.52604,0,0
ISKXPD,D,20200727,000000,3.29364,3.30632,3.19934,3.23106,0,0
ISKXPT,D,20200727,000000,7.84094,7.98786,7.83869,7.92485,0,0
ISKZAR,D,20200727,000000,12.2681,12.2919,12.1744,12.1892,0,0
